349	99.8	99.8	0	3.3	1.65	0.825	0	380.9	542.55	0.825
351	0	99.8	0	0	0	0.825	0	400	562.55	0
353	99.8	99.8	0	0	1.65	0.825	0	400	575	0
355	0	99.8	0	0	1.65	0	0	400	627.2	0
357	99.8	99.8	0	6.65	1.65	12.4	0	476.7	634.15	0
359	0	99.8	0	0	0	0.825	0	602.4	610.475	0
361	46.6	99.8	0	0	0	0.825	0	393.9	511.525	0
363	6.7	99.8	0	3.3	1.65	0.825	0	572.55	531.475	2.475
365	99.7	99.7	0	0	1.65	0.825	0	582.2	609.175	0
367	0	99.8	0	0	1.65	0.825	0	400	617.9	0.825
369	0	99.8	0	6.65	0	3.3	0	574.9	373.925	0
371	6.6	99.8	0	0	1.65	0	0	539.75	453.6	0
373	6.7	99.8	0	0	0	0	0	553.2	657.525	1.65
374	99.8	99.8	0	0	0	0	0	400	625.175	0
376	0	99.8	0	0	0	2.4875	0	704.35	607.5	0.825
378	59.9	99.8	0	6.65	0	0	0	691.35	628.325	0.825
380	99.8	106.4	6.6	0	0	0	0	605.45	617.375	0.825
381	99.8	99.8	6.6	0	0	0	0	542.75	633.6	1.65
