Time	ejabberd-nolog-1	ejabberd-nolog-2	openfire-log-1	openfire-log-2	openfire-log-4	openfire-log-8	openfire-nolog-1	openfire-nolog-2	openfire-nolog-4	openfire-nolog-8
490	106.4	99.8	158.7	77.4	0	0	200	3.3	1.65	0.825
492	99.8	99.8	107.4	91.75	0	0	200	3.3	1.65	0.825
493	99.8	99.8	143.8	102.5	0	0	200	3.3	1.65	0.825
494	99.8	99.8	101.3	105.15	0	0	200	3.3	1.65	0.825
496	99.8	99.8	112.2	102.35	0	0	200	3.3	1.65	0.825
498	99.8	99.8	92.2	111.7	0	0	200	3.3	1.65	0.825
500	99.8	99.8	116.7	112.55	0	0	200	3.3	1.65	0.825
501	99.8	99.8	150.7	118.2	0	0	200	3.3	1.65	0.825
503	99.8	99.8	123.2	118.85	0	0	200	3.3	1.65	0.825
504	99.8	99.8	165.3	109.35	0	0	200	3.3	1.65	0.825
506	99.8	99.8	114.8	105.85	0	0	200	3.3	1.65	0.825
508	99.8	99.8	135.2	82	0	0	200	3.3	1.65	0.825
510	99.8	99.8	158.2	102.4	0	0	200	3.3	1.65	0.825
511	99.8	99.8	103.9	105.9	0	0	200	3.3	1.65	0.825
512	99.8	99.8	115.8	109.35	0	0	200	3.3	1.65	0.825
514	99.8	99.8	105.9	110.15	0	0	200	3.3	1.65	0.825
515	99.8	99.8	105.8	102.5	0	0	200	3.3	1.65	0.825
516	99.8	99.8	145.5	111.05	0	0	200	3.3	1.65	0.825
518	99.8	99.8	123.1	109.05	0	0	200	3.3	1.65	0.825
519	99.8	99.8	157	105.95	0	0	200	3.3	1.65	0.825
520	99.8	106.4	119.2	112.5	0	0	200	3.3	1.65	0.825
521	99.8	99.8	123.9	98.9	0	0	200	3.3	1.65	0.825
522	99.8	99.8	130.5	115.9	0	0	200	3.3	1.65	0.825
523	99.8	99.8	128.3	109.3	0	0	200	3.3	1.65	0.825
525	99.8	99.8	155.3	89.1	0	0	200	3.3	1.65	0.825
526	93.1	99.8	123.9	82.8	0	0	200	3.3	1.65	0.825
527	99.8	99.8	112.4	109.05	0	0	200	3.3	1.65	0.825
528	99.8	99.8	117	108.8	0	0	200	3.3	1.65	0.825
530	99.8	99.7	108.1	101.4	0	0	200	3.3	1.65	0.825
532	99.8	99.8	112.2	89.1	0	0	200	3.3	1.65	0.825
533	99.7	99.8	89	91.8	0	0	200	3.3	1.65	0.825
534	99.8	99.8	99.2	105.95	0	0	200	3.3	1.65	0.825
536	99.8	99.8	97.1	111.6	0	0	200	3.3	1.65	0.825
537	99.8	99.8	155.2	115.8	0	0	200	3.3	1.65	0.825
538	99.8	99.8	122.9	105.8	0	0	200	3.3	1.65	0.825
540	99.8	99.8	118.8	105.55	0	0	200	3.3	1.65	0.825
541	99.8	99.7	132.2	96.1	0	0	200	3.3	1.65	0.825
542	99.8	99.8	121.9	118.9	0	0	200	3.3	1.65	0.825
543	99.8	99.8	154.6	86.05	0	0	200	3.3	1.65	0.825
544	99.8	99.8	122.7	99.2	0	0	200	3.3	1.65	0.825
546	99.8	99.8	112.4	105.05	0	0	200	3.3	1.65	0.825
547	99.8	99.8	112.4	105.9	0	0	200	3.3	1.65	0.825
548	99.8	99.8	110.3	102.45	0	0	200	3.3	1.65	0.825
549	99.8	99.8	158.7	105.75	0	0	200	3.3	1.65	0.825
551	99.8	99.8	108.7	85.75	0	0	200	3.3	1.65	0.825
552	99.8	99.8	105.3	102.7	0	0	200	3.3	1.65	0.825
554	99.8	99.8	105.9	109.05	0	0	200	3.3	1.65	0.825
555	99.8	99.8	119	99.05	0	0	200	3.3	1.65	0.825
557	99.8	99.8	110.6	99.2	0	0	200	3.3	1.65	0.825
558	99.8	99.7	131.1	99.35	0	0	200	3.3	1.65	0.825
559	99.8	99.8	158.8	101.95	0	0	200	3.3	1.65	0.825
561	99.8	99.8	132.3	105.9	0	0	200	3.3	1.65	0.825
562	99.8	99.8	125.6	112.4	0	0	200	3.3	1.65	0.825
563	99.8	106.5	159.2	109.15	0	0	200	3.3	1.65	0.825
564	99.8	99.8	125.7	95.05	0	0	200	3.3	1.65	0.825
566	99.8	99.8	125.6	86	0	0	200	3.3	1.65	0.825
568	99.8	99.8	112.4	109.05	0	0	200	3.3	1.65	0.825
569	99.7	99.8	152.1	117.9	0	0	200	3.3	1.65	0.825
570	99.8	106.5	117.3	98.75	0	0	200	3.3	1.65	0.825
571	99.8	99.8	110.7	98.9	0	0	200	3.3	1.65	0.825
573	99.8	99.8	131.6	109.3	0	0	200	3.3	1.65	0.825
574	99.8	99.8	105.8	97.35	0	0	200	3.3	1.65	0.825
576	99.8	99.8	145.5	92.55	0	0	200	3.3	1.65	0.825
577	106.5	99.8	122.3	95.75	0	0	200	3.3	1.65	0.825
579	99.8	99.8	150.3	115.85	0	0	200	3.3	1.65	0.825
581	99.8	99.8	115.7	105.85	0	0	200	3.3	1.65	0.825
583	99.8	99.8	109.6	108.4	0	0	200	3.3	1.65	0.825
585	99.8	99.8	122.3	109	0	0	200	3.3	1.65	0.825
586	99.8	99.8	158.6	92.65	0	0	200	3.3	1.65	0.825
587	99.8	99.8	123.6	95.8	0	0	200	3.3	1.65	0.825
588	99.8	99.8	112.5	105.8	0	0	200	3.3	1.65	0.825
590	99.8	99.8	157.5	92.45	0	0	200	3.3	1.65	0.825
592	99.8	99.8	137.1	118.9	0	0	200	3.3	1.65	0.825
593	99.8	99.8	101.6	122.3	0	0	200	3.3	1.65	0.825
594	99.8	99.8	112.2	99.2	0	0	200	3.3	1.65	0.825
596	99.8	99.8	132.3	95.5	0	0	200	3.3	1.65	0.825
598	99.8	99.8	105.9	102.45	0	0	200	3.3	1.65	0.825
599	99.8	99.8	130	86.15	0	0	200	3.3	1.65	0.825
601	99.8	99.8	109.1	85.75	0	0	200	3.3	1.65	0.825
602	99.8	99.8	121.8	118.6	0	0	200	3.3	1.65	0.825
603	99.8	99.8	137.4	109.05	0	0	200	3.3	1.65	0.825
605	99.8	99.8	121.8	99.4	0	0	200	3.3	1.65	0.825
606	99.8	99.8	160.2	102.45	0	0	200	3.3	1.65	0.825
607	99.8	99.8	101.8	69.35	0	0	200	3.3	1.65	0.825
608	99.8	99.8	121.5	99.35	0	0	200	3.3	1.65	0.825
609	99.8	99.8	152	105.75	0	0	200	3.3	1.65	0.825
611	99.8	99.8	116	88.85	0	0	200	3.3	1.65	0.825
612	99.8	99.8	118.9	56.2	0	0	200	3.3	1.65	0.825
613	99.8	106.5	145.5	0	0	0	200	3.3	1.65	0.825
614	99.8	99.8	123.1	0	0	0	200	3.3	1.65	0.825
615	99.8	99.8	117.1	0	0	0	200	3.3	1.65	0.825
617	99.8	99.8	103.1	0	0	0	200	3.3	1.65	0.825
619	99.8	99.8	125.6	0	0	0	200	3.3	1.65	0.825
620	99.8	99.8	112.4	3.3	0	0	200	3.3	1.65	0.825
622	99.8	99.8	118.6	3.3	0	0	200	3.3	1.65	0.825
623	99.8	99.8	134.2	0	0	0	200	3.3	1.65	0.825
625	99.8	99.8	158.7	0	0	0	200	3.3	1.65	0.825
627	99.8	99.8	112.4	0	0	0	200	3.3	1.65	0.825
628	99.8	99.8	113.3	0	0	0	200	3.3	1.65	0.825
