Time	openfire-nolog-2	openfire-nolog-4	openfire-nolog-8
735	16249	17609.75	19900.625
737	16249	17609.75	19866.75
739	16249	17609.75	19898.875
740	16249	17609.75	19898.875
741	16249	17609.75	19898.875
742	16249	17609.75	19898.875
744	16249	17609.75	19898.875
745	16249	17609.75	19932
747	16249	17609.75	19999.25
749	16249	17609.75	19999.25
750	16249	17609.75	19999.25
752	16249	17609.75	19999.25
753	16249	17609.75	19999.25
755	16249	17609.75	19931
756	16249	17609.75	19897.375
757	16249	17609.75	19897.375
759	16249	17609.75	19863.5
761	16249	17609.75	19829.875
762	16249	17609.75	19829.875
763	16249	17609.75	19829.875
765	16249	17609.75	19796.25
766	16249	17609.75	19762.875
768	16249	17609.75	19762.875
769	16249	17609.75	19762.875
771	16249	17609.75	19829.875
772	16249	17609.75	19829.875
774	16249	17609.75	19863.25
775	16249	17609.75	19863.25
776	16249	17609.75	19896.875
778	16249	17609.75	19863.5
780	16249	17609.75	19830.375
781	16249	17609.75	19898.375
782	16249	17609.75	19933
783	16249	17609.75	19933
784	16249	17609.75	19933
786	16249	17609.75	20172.125
788	16249	17609.75	20238.125
789	16249	17609.75	20205
791	16249	17609.75	20171.125
793	16249	17609.75	20171.125
795	16249	17609.75	20239.125
797	16249	17609.75	20272.25
798	16249	17609.75	20271.5
799	16249	17609.75	20271.5
800	16249	17609.75	20271.625
802	16249	17609.75	20271.5
804	16249	17609.75	20271.5
806	16249	17609.75	20237.375
807	16249	17609.75	20237.375
808	16249	17609.75	20406.75
810	16249	17609.75	20406.75
812	16249	17609.75	20406.75
813	16249	17609.75	20406.75
814	16249	17609.75	20373.375
816	16249	17609.75	20340.25
818	16249	17609.75	20373.375
819	16249	17609.75	20305.875
821	16249	17609.75	20306.125
822	16249	17609.75	20306.125
823	16249	17609.75	20306.125
824	16249	17609.75	20362.375
825	16249	17609.75	20372.875
826	16249	17609.75	20146.625
828	16249	17609.75	20339.25
829	16249	17609.75	20373.125
830	16249	17609.75	20053.625
831	16249	17609.75	20024.25
833	16249	17609.75	20509.875
835	16249	17609.75	20509.875
837	16249	17609.75	20509.875
838	16249	17609.75	20251.125
839	16249	17609.75	20214.5
840	16249	17609.75	20213.125
841	16249	17609.75	20248.25
842	16249	17609.75	19920.875
843	16249	17609.75	20306.875
845	16249	17609.75	20240.375
847	16249	17609.75	20069.25
848	16249	17609.75	20069.25
850	16249	17609.75	20001.5
851	16249	17609.75	19967.125
853	16249	17609.75	19967.875
854	16249	17609.75	20001.25
855	16249	17609.75	19806.125
856	16249	17609.75	20034.875
857	16249	17609.75	20034.875
858	16249	17609.75	19934.25
859	16249	17609.75	19934.25
861	16249	17609.75	20001.25
862	16249	17609.75	20001.25
864	16249	17609.75	20001.25
865	16249	17609.75	19967.625
867	16249	17609.75	19933.25
868	16249	17609.75	19732.25
870	16249	17609.75	19732.25
871	16249	17609.75	19732.25
872	16249	17609.75	20041.375
873	16249	17609.75	20041.375
874	16249	17609.75	19973.625
876	16249	17609.75	19939.75
877	16249	17609.75	19939.75
878	16249	17609.75	19939.75
879	16249	17609.75	19939.75
881	16249	17609.75	19973.125
883	16249	17609.75	20007
885	16249	17609.75	19973.125
887	16249	17609.75	19939.5
888	16249	17609.75	19939.5
889	16249	17609.75	19939.5
890	16249	17609.75	19838.875
891	16249	17609.75	19838.875
893	16249	17609.75	19838.875
894	16249	17609.75	19939.5
895	16249	17609.75	19939.5
897	16249	17609.75	20072.75
899	16249	17609.75	20035.875
901	16249	17609.75	20035.875
903	16249	17609.75	20069
904	16249	17609.75	20069
905	16249	17609.75	20035.375
907	16249	17609.75	20035.375
908	16249	17609.75	20035.375
909	16249	17609.75	20036.125
910	16249	17609.75	19969.625
911	16249	17609.75	19969.625
913	16249	17609.75	19936.25
915	16249	17609.75	20038.625
916	16249	17609.75	20038.625
918	16249	17609.75	20211.75
920	16249	17609.75	20175.125
921	16249	17609.75	20175.125
922	16249	17609.75	20175.125
924	16249	17609.75	20175.125
925	16249	17609.75	20208.75
926	16249	17609.75	20140.25
927	16249	17609.75	20140.25
929	16249	17609.75	20140.25
930	16249	17609.75	20140.25
931	16249	17609.75	19968.375
933	16249	17609.75	20002.25
934	16249	17609.75	20036.625
936	16249	17609.75	20037.875
938	16249	17609.75	20037.875
939	16249	17609.75	20004.5
941	16249	17609.75	19971.375
942	16249	17609.75	19971.375
943	16249	17609.75	19937.25
944	16249	17609.75	19937.25
945	16249	17609.75	19937.25
946	16249	17609.75	19903.375
947	16249	17609.75	19902.875
