Time	ejabberd-nolog-1	ejabberd-nolog-2	openfire-log-1	openfire-log-2	openfire-log-4	openfire-log-8	openfire-nolog-1	openfire-nolog-2	openfire-nolog-4	openfire-nolog-8
363	61.4	61.4	70.2	21.35	6.7	2.25	67.8	14.65	21.175	11.275
365	31.1	31.1	70.2	21.35	6.7	2.25	69.2	14.65	21.3	11.2625
366	60.2	60.2	70.2	21.35	6.7	2.25	67.8	14.65	21.3	11.225
368	60.1	60.1	70.2	21.35	6.7	2.25	69.2	14.65	21.3	11.35
370	59.4	59.4	70.2	21.5	6.7	2.25	69.2	16	21.3	11.2625
372	31.1	31.1	70.2	21.55	6.7	2.25	69.2	14.8	21.35	11.35
373	59.2	59.2	70.2	21.55	6.7	2.25	69.2	16	21.3	11.25
375	59.1	59.1	70.2	22	6.7	2.25	69.2	15	23.325	11.225
377	59.7	59.7	70.2	22.2	6.675	2.25	69.2	15	23.325	11.225
379	31.1	31.1	70.2	22.2	6.675	2.25	69.2	15.05	21.475	11.2
380	60.1	60.1	71.4	22.2	6.7	2.25	69.2	15.1	21.45	11.3375
382	60.1	60.1	70.2	22.75	6.675	2.25	69.2	15.1	21.45	11.3125
383	60.5	60.5	70.2	22.2	6.675	2.25	69.2	16.3	21.725	11.1625
385	60.5	60.5	71.1	22.2	6.675	2.25	69.2	15.1	21.725	11.2875
386	60.7	60.7	71.4	22.2	6.675	2.25	69.2	16.3	21.8	11.1375
388	60.7	60.7	71.1	22.2	6.675	2.25	69.2	15.1	23.325	11.125
390	60.7	60.7	71.1	22.2	6.675	2.25	69.2	15.25	23.325	11.475
392	61.1	61.1	71.4	22.2	6.675	2.25	69.2	15.45	21.925	11.45
394	31.1	31.1	71.1	22.4	6.675	2.25	69.2	15.45	22.15	11.4375
396	61.1	61.1	71.4	22.4	6.675	2.25	69.2	16.4	23.325	11.4875
398	50.4	50.4	71.4	22.4	6.675	2.25	69.2	15.45	22.15	11.4625
400	37.3	37.3	71.4	22.55	6.675	2.25	69.2	15.45	22.1	11.4125
402	37.1	37.1	71.4	22.55	6.675	2.25	69.2	15.65	22.1	11.0625
404	36.7	36.7	71.4	22.55	6.675	2.25	69.2	15.65	22.675	11.4125
406	36.4	36.4	71.4	22.6	6.675	2.25	69.2	15.65	22.75	11.5
408	31.2	31.2	71.4	22.6	6.675	2.25	69.2	15.65	22.75	11.675
409	35.8	35.8	71.4	22.6	6.675	2.25	69.2	16.55	23.325	11.6625
411	35.6	35.6	71.4	22.6	6.675	2.25	69.2	15.65	22.775	11.675
413	35.4	35.4	71.4	22.6	6.675	2.25	69.2	15.75	22.75	11.6125
415	35.3	35.3	71.4	22.6	6.675	2.25	69.2	15.9	22.75	11.025
416	31.2	31.2	71.4	22.75	6.675	2.25	69.2	15.9	22.75	11.5875
418	35.3	35.3	71.4	22.75	6.675	2.25	69.2	15.9	22.75	11.5875
419	35.3	35.3	71.4	22.75	6.675	2.25	69.2	15.9	22.725	11
421	35.3	35.3	71.4	22.75	6.675	2.25	69.2	15.9	22.725	11.525
423	31.2	31.2	71.4	23	6.675	2.25	69.2	15.95	23.2	11.5125
424	35.3	35.3	71.4	23.35	6.675	2.25	69.2	16	23.2	11.0875
425	35.3	35.3	71.4	23.35	6.675	2.25	69.2	16	23.2	11.475
427	35.3	35.3	71.4	23.7	6.675	2.25	69.2	16	23.2	11.4375
429	35.3	35.3	71.4	23.4	6.675	2.25	69.2	16	23.325	11.575
431	35.3	35.3	71.4	23.4	6.675	2.25	69.2	16	23.2	11.7625
432	35.3	35.3	71.4	23.4	6.675	2.25	69.2	16.1	23.2	11.0625
434	35.3	35.3	71.4	23.4	6.675	2.25	69.2	16.1	23.2	11.0625
435	35.3	35.3	71.4	23.4	6.675	2.25	69.2	16.8	23.325	11.675
436	35.3	35.3	71.4	23.4	6.675	2.25	69.2	16.25	23.2	11.625
437	31.2	31.2	71.4	23.4	6.675	2.25	69.2	16.3	23.2	11.5875
439	35.3	35.3	71.4	23.4	6.675	2.25	69.2	16.3	23.35	11.05
441	35.3	35.3	71.4	23.5	6.675	2.25	69.2	16.3	23.35	11.0625
442	35.3	35.3	71.4	23.5	6.675	2.25	69.2	16.3	23.325	11.6125
444	35.4	35.4	71.4	23.5	6.675	2.25	69.2	16.3	23.325	11.5375
445	31.2	31.2	71.4	23.5	6.675	2.25	69.2	16.3	23.325	11.0625
447	35.4	35.4	71.4	23.5	6.675	2.25	69.2	16.3	23.325	11.075
448	35.4	35.4	71.5	23.5	6.675	2.25	69.2	17.05	23.325	11.7125
449	35.4	35.4	71.4	23.7	6.675	2.25	69.2	16.4	23.325	11.075
450	35.4	35.4	71.4	23.7	6.675	2.25	69.2	16.4	23.325	11.65
451	35.4	35.4	71.4	23.7	6.675	2.25	69.2	16.4	23.325	11.1
453	35.4	35.4	71.4	23.7	6.675	2.25	69.2	16.4	23.325	11.8375
455	35.4	35.4	71.4	23.7	6.675	2.25	69.2	16.45	23.325	11.8125
457	35.4	35.4	71.4	23.7	6.675	2.25	69.2	16.45	23.325	11.8
458	35.3	35.3	71.4	23.7	6.675	2.25	69.2	16.45	23.325	11.125
460	35.3	35.3	71.5	23.7	6.675	2.25	69.2	16.45	23.325	11.1125
462	35.3	35.3	71.4	23.7	6.675	2.25	69.2	16.55	23.325	11.125
463	35.3	35.3	71.4	23.7	6.675	2.25	69.2	16.55	23.325	11.65
464	35.3	35.3	71.4	23.7	6.675	2.25	69.2	16.55	23.3	11.125
466	31.2	31.2	71.4	23.7	6.675	2.25	69.2	16.55	23.325	11.575
468	35.3	35.3	71.4	23.8	6.675	2.25	69.2	16.55	23.325	11.55
470	35.3	35.3	71.4	23.8	6.675	2.25	69.2	16.55	23.325	11.5
471	35.3	35.3	71.4	23.8	6.675	2.25	69.2	16.55	23.325	11.5
473	35.3	35.3	71.5	23.8	6.675	2.25	69.2	16.55	23.325	11.475
475	35.3	35.3	71.4	24.4	6.675	2.25	69.2	16.6	23.45	11.1875
476	35.3	35.3	71.4	24.4	6.675	2.25	69.2	16.6	23.325	11.4625
477	31.5	31.5	71.4	24.4	6.675	2.25	69.2	16.6	23.325	11.1875
479	31.3	31.3	71.5	24.4	6.675	2.25	69.2	16.65	23.325	11.2875
481	31.2	31.2	71.4	24.4	6.675	2.25	69.2	16.65	23.325	11.3625
483	31.2	31.2	71.4	24.4	6.675	2.25	69.2	17.5	23.325	11.325
484	31.2	31.2	71.4	24.4	6.675	2.25	69.2	16.65	23.325	11.3125
485	31.2	31.2	71.5	24.4	6.675	2.25	69.2	16.65	23.325	11.3
487	31.2	31.2	71.5	24.4	6.675	2.25	69.2	17.7	23.325	11.2875
488	31.2	31.2	71.5	24.4	6.675	2.25	69.2	16.75	23.475	11.275
489	31.2	31.2	71.5	24.4	6.675	2.25	69.2	16.75	23.325	11.25
490	31.2	31.2	71.5	24.4	6.675	2.25	69.2	16.75	23.325	11.2875
492	31.2	31.2	71.5	24.4	6.675	2.25	69.2	16.8	23.325	11.2875
494	31.2	31.2	71.5	24.5	6.675	2.25	69.2	16.75	23.325	11.3125
